title,original_text,Support,replaced_text,paragraph
"should democrats support brett kavanaugh?
","He's incompatible with liberal values
",0,"Kavanaugh’s incompatible with liberal values
","Brett Kavanaugh’s ideals on abortion, the environment and gun laws make him the opposite of what Democrats stand for, suggest Grewal, Kapczynski and Kohler-Hausmann of the LA Times. He has argued against legal precedent to impose his abortion views on trials. There are several better Republican candidates that stand for abortion rights, which Democrats could support. While he has proven to have a nice personality, this matters little in deciding the country’s laws. Some liberals back him, but are unlikely to open him up to their ideals once he’s on the Supreme Court. He’s not a candidate Democrats can support.
"
"are pit bulls inherently dangerous?
","They are involved in more violence
",1,"Pit bulls are involved in more violence
","Pit bulls are far more likely to be violent and aggressive than other dogs, suggests Charlotte Alter of Time. They form only 6% of all dogs in the US but were involved in 68% of dog attacks and 52% of dog-related deaths since 1982. The CDC found that between 1978 and 1998 pit bulls killed more people than other breeds. According to one study from 2011, pit bulls kill a person every two weeks and injure a person twice a week. The only reported killings by shelter dogs, between 2000 and 20009, were committed by pit bulls. Some argue they have been bred to be more violent and are therefore more dangerous than other dogs."
"are pit bulls inherently dangerous?
","Nurture is always bigger than nature
",0,"Nurture is always bigger than nature
","Pit bulls, like all dogs and humans, are a product of their upbringing. They are not inherently more violent or aggressive than other breeds, holds The American Society for the Prevention of Cruelty to Animals. While the original purpose of pit bulls was to fight bulls, bears or each other, many of them have been bred to be docile and friendly since. Today’s pit bulls are mostly the product of random breeding, watering down any aggressive traits. The people that raise them have a far bigger effect on their behavior than their genetics. Failing to socialize them properly is much more to blame than any supposedly aggressive traits.
"
"is trump right to undo car pollution regulations?
","This will erode vital climate regulations
",0,"The undo will erode vital climate regulations
","President Trump is rolling back vital car pollution regulations, which is going to hamper the fight against climate change, asserts Jody Freeman of The New York Times. Transportation is the biggest creator of greenhouse gases in the US, largely from cars and trucks. Trump’s decision would stop legislation that pushes the automobile industry to continue reducing the pollution that its cars create. California’s ability to regulate the cars sold within its borders is also being targeted. Without it, programs that promote electric and hybrid cars would end. If Trump succeeds, it would be a huge setback to America’s effort to pollute less.
"
"is trump right to undo car pollution regulations?
","President Trump's decision is justified
",1,"President Trump's decision is justified
","The Trump administration is pushing to undo California’s clout over car regulations, which it believes should be decided by the federal government, reports John Lippert of Bloomberg. The automobile industry supports this effort, as it could otherwise be required to build cars along two sets of regulations, California’s and the rest of the country’s. Trump officials argue that too many regulations raise the prices of cars, meaning that people will stick to older cars that are less safe. Furthermore, California’s ability to regulate greenhouse gas emissions will stay in place; ozone layer pollutant regulations are the primary target.
"
"how is america faring in its trade war with china?
","China has all the aces in this trade war
",0,"China has all the aces in this trade war
","America's trade war with China creates significant economic losses for few tangible gains, infers Joseph E. Stiglitz of The Globe And Mail. Compared to the US, China’s government has far more control over its economy, which will allow it to weather this storm better. The best possible outcome for America is that it would only sustain slight damage to its economy. This trade war pushes US companies to re-route their trade away from China, raising the cost of exporting as well as importing. China’s currency will lose value, which will boost exports as their price goes down. America won’t fare quite as well.
"
"how is america faring in its trade war with china?
","America's economy is ending up on top
",1,"America's economy is ending up on top
","So far, the trade war is going in America’s favor, believes Adam Shell of USA Today. The US stock market is up by 6.1% while the Chinese one is down by almost 13%. This trade war is happening during a period of economic optimism in America, while the rest of the world is seeing less growth. China is also more exposed, as its exports versus import ratio with the US is around 3 to 1. It is much more reliant on this trade than the other way around. America’s economy is driven by local spending, making it much more self-sufficient. Up until now, America is looking like the strong favorite in this trade war."
"can we blame climate change for heat waves?
","It raises the frequency of these events
",1,"The climate change raises the frequency of these events
","It is highly likely that man-made climate change is a major cause of the heatwaves seen in 2018, reports Katharina Wecker of Deutsche Welle. Human activity has already warmed the globe by around 1 degree Celsius. Scientists from the Royal Netherlands Meteorological Institute believe that climate change doubled the likelihood of heat waves happening. Similarly, it also had a major hand in Hurricane Harvey and previous global heatwaves. Data from the early 20th century, when there were far fewer greenhouse gases in the atmosphere, shows that rates of hot days have gone up significantly. This trend is only going to grow from here."
"can we blame climate change for heat waves?
","Actually, the science isn't quite out yet
",0,"Actually, the science isn't quite out yet
","While many heat records have been set in the summer of 2018, this cannot solely be blamed on climate change with absolute certainty, argues Irineo Cabreros. Global weather trends are highly complex and influenced by a multitude of factors. Planetary orbits and ocean currents are arguably as influential as human activity. In order to confidently say that heat waves are caused by climate change, much more data, gathered over long periods, will need to be analyzed. Hot stints, like cold ones, don’t mean that much, as they can happen for very natural reasons. Climate change is real, but we must be careful with blaming it for weather events."
"would a trump-rouhani meeting be productive?
","It could improve relations with Iran
",1,"The meeting could improve relations with Iran
","This is a good time for President Trump to be meeting Iran’s leader, Hassan Rouhani, argues Tom Rogan of the Washington Examiner. The country’s economy is suffering, making it more reliant on good relations with the US. Trump pulled out of the Iran Nuclear deal in order to get a superior agreement signed. Now is the perfect time for that to happen. Aside from that, dialogue between the two nations is important and highly preferable to tensions. Trump meeting Rouhani also gives him legitimacy as Iran’s leader, which is good as he is more moderate than the country’s religious hardliners. These talks have much potential.
"
"would a trump-rouhani meeting be productive?
","A meeting would make little sense
",0,"A meeting would make little sense
","President Trump has given the leader of Iran, Hassan Rouhani, few reasons to engage in dialogue, not to mention make concessions, suggests Ali Vaez of The Atlantic. Trump has repeatedly criticized the country, even threatening it with war. Canceling the Iran deal was a particular blow to relations, one that Rouhani won’t easily forgive. He knows that Trump pulled out to increase his bargaining position and likely won’t want to reward that behavior. The US president’s strategy of carrot and stick is unlikely to work with Iran. Unless there is a significant shift in Trump’s policy towards the country, talks are destined to fail.
"
"is a blue wave during the midterms likely?
","Trump has grown Dem support
",1,"Trump has grown Dem support
","Donald Trump’s divisive and unpresidential demeanor is likely to gift the Democrats a big win at the 2018 midterms, asserts Jay Cost of National Review. While the investigation into collusion with Russia has yet to provide any evidence against the president, his handling of it has reduced voters’ trust in him. While he was legally allowed to fire James Comey, the way he went about it looked bad. His warm words about Russia in a Helsinki meeting with Putin also didn’t help. Americans like to see a president that is dignified and respectful. Trump’s behavior on Twitter and elsewhere has been everything but. This will be key during the midterms."
"is a blue wave during the midterms likely?
","Republican support is strong
",0,"Republican support is strong
","Rumors about a Democratic wave sweeping Congress during the 2018 midterms are exaggerated, write Nate Cohen and Dominic Kesterton of The New York Times. Democrats’ success during special elections in conservative areas is wrongly used as a benchmark. Scandals, investigations or indictments held back at least seven Republican opponents, which is extraordinary. In general, the political ecosystem does not support great Democratic success. Many areas that they need to win lean Republican. Gerrymandering and Democrats being concentrated in cities also hurts their potential. A blue wave is less likely than many have assumed."
"do fraternities benefit society?
","They are a stain on college life
",0,"Fraternities are a stain on college life
","It is clear that fraternities’ downsides outweigh their upsides. They should be banned, holds Renée Graham of The Boston Globe. Incidents of sexual abuse, death due to alcohol and hazing rituals, racist behavior and violence continue to reappear. Being in this environment brings out the worst in students, whether they are male or female. Universities have often done as little as possible to cage this behavior, in a bid to keep donors happy while also working on bolstering their reputation. Suspensions are a bandaid that tends to lead to abuses happening again. Allowing frats to continue needlessly risks the health and lives of students.
"
"do fraternities benefit society?
","Fraternities can be highly positive
",1,"Fraternities can be highly positive
","While fraternities are all lumped together and get criticized heavily, there are several ways in which they contribute to society, argues Dante Jordan of the Odyssey Online. Many encourage academic success by enforcing study hours, during which all members need to be studying. Some even have a minimum GPA requirement, ensuring that all members pursue academic success. Most fraternities also do fundraising and community work. A key part is the promotion of leadership qualities. Members are helped into positions where these attributes can be honed, encouraging growth that is personal and career-oriented.
"
"does america need a religious liberty task force?
","Such a task force isn't needed
",0,"Such a task force isn't needed
","The religious liberty task force that Jeff Sessions has proposed is a worrying marriage of church and state that holds the rights of Christians above all others, suggests Tara Isabella Burton of Vox. After Sessions’ announcement, a Catholic archbishop talked, implying that LGBT couples shouldn’t be able to adopt children. The task force seems to be centered around the notion that Christianity is under attack in America, a provocative Republican talking point. In fact, the law has sided with Christian religious rights more often than not. It is not the government’s place to defend such rights, particularly at the cost of groups like the LGBT community.
"
"does america need a religious liberty task force?
","It will protect everyone's rights
",1,"The task force will protect everyone's rights
","Jeff Sessions’ proposal of a religious liberty task force is a positive development that has been unfairly criticized by much of the left, believes Alexandra Desanctis of National Review. Accusations that protecting religious liberty is somehow synonymous with eroding the rights of other groups are wrong. The task force would exist to protect religious organizations and people from being forced to act in ways that go against their beliefs. This happened several times under the Obama administration, which ignored the beliefs of employers. Far from only protecting Christians, this would be an effort to protect the religious rights of all Americans.
"
"does america need medicare for all?
","It would lift up American healthcare
",1,"Medicare would lift up American healthcare
","Medicare for all would give the US population significantly better healthcare than they have now, argues Helaine Olen of the Sun Sentinel. Growingly popular with Americans, the program would tackle the country’s overpriced and ineffective healthcare structure. Other developed countries use this system and do better in both of those regards. In the US, poor people suffer from this immensely, as they are unable to pay for essential care. The American healthcare debate is poisoned by lobbyists from the highly profitable healthcare industry. It has much to gain from the current system that facilitates immensely high prices.
"
"does america need medicare for all?
","Everyone would end up worse off
",0,"Everyone would end up worse off
","The US would be worse off with a Medicare-for-all system, holds Deane Waldman of The Hill. While some polls suggest most Americans support its implementation, these stances change once they are made to understand what this process involves. The cost of $18 trillion stands out. It’s simply not cost-effective. Already, the Medicare Trust Fund is set to run out of money in the next decade. A national single-payer healthcare system would decide each state’s biggest budget expense for them. Additionally, such a system would worsen the care that patients get, imposing one treatment for all, even if it’s inadequate."
"do ""sin taxes"" on unhealthy foods work?
","'Sin taxes' make people healthier
",1,"Sin taxes' make people healthier
","“Sin taxes” on alcohol, sugar and tobacco would reduce the widespread damage that the products do and make society healthier, asserts Sarah Boseley of The Guardian. Such taxes particularly drive lower-income people away from unhealthy products. This is necessary as diseases related to the intake of these products, such as cancers, diabetes, heart disease and strokes have spread dramatically. In fact, they now kill more than traditional, spreadable diseases. They cause 38 million deaths every year, 16 million of which are premature, among those under 70 years of age. “Sin taxes” are the best way to fight this growing epidemic."
"do ""sin taxes"" on unhealthy foods work?
","They do more harm than good
",0,"Sin taxes’ do more harm than good
","“Sin taxes” are a faulty band-aid for a very complex issue, having often backfired, suggests Michael Shindler of Real Clear Health. When England raised taxes on card games too much in the 18th century, it resulted in licensed playing card forgeries surging. A 2008 Australian tax on pre-mixed alcoholic drinks was a factor in driving the consumption of harder liquors instead. Denmark’s own 2011 “fat tax” was blamed for the loss of 1,300 jobs, while people just bought cheaper brands of fatty food or did their fatty shopping in other countries. “Sin taxes” often have adverse effects that aren’t immediately obvious and shouldn’t be implemented."
"will trump go through with gov't shutdown threats?
","He has shown that he's willing to
",1,"Trump has shown that he's willing to
","President Trump has repeated multiple times that he is highly willing to shut down the government if his border wall doesn’t get the funding it requires, reports Todd J. Gillman of Dallas News. A key issue during his election campaign, Trump is frustrated that talks within the government have been fruitless concerning this issue so far. The Senate floated a $1.6 billion spending bill, but this is far too little for the president. Even though he is frustrating some within the GOP, Trump is determined to get what he wants in this case and not show weakness through compromise. A government shutdown has been used before, in February."
"will trump go through with gov't shutdown threats?
","In the end, it just won't happen
",0,"In the end, the shutdown just won't happen
","While President Trump has said that he will shut down the government over funding for a border wall, this is unlikely to happen, argues Jonathan Bernstein of Bloomberg. Shutdowns have been used as a threat before, without ever going into effect. Key is that Trump doesn’t have the necessary votes in Congress. It already dismissed his border wall funding plan earlier in 2018. Trump's proposal is simply unpopular and largely caters to his loyal but narrow base. Even Republican leaders Mitch McConnell and Paul Ryan have opposed shutting down the government over this. Politically costly, it's not worth doing for an issue of only relative importance."
will trump be re-elected in 2020?,Trump will probably lose in 2020,0,Trump will probably lose in 2020,"Donald Trump will fail to get re-elected, theorizes David Leonhardt of The New York Times in a speculative recap of the 2020 elections. Key will be the Democrats’ policies of higher taxes on the wealthy, expanded Medicare and affordable college. Trump’s own unfulfilled promises, particularly in regards to infrastructure, will also lose him votes. With a more united Democratic America, Trump could acquire the same share of the vote as he did in 2016 (46.1%) and still lose due to fewer third-party candidates absorbing votes. Women are also likely to have strong influence, deciding against Trump. There are many reasons to believe he won’t win in 2020."
will trump be re-elected in 2020?,"Democrats won't unite the country
",1,"Democrats won't unite the country
","The Democratic party’s current swing to the left is likely going to result in failure come 2020, writes Ed Rogers in the Miami Herald. Its strong stances on sanctuary cities, abolishing ICE and single-payer healthcare will backfire. The party has shown a movement away from moderate candidates like Barrack Obama or Bill Clinton. This could risk alienating undecided voters, which will be crucial during the election. Furthermore, the economic growth that President Trump is producing will make a very strong case for sticking with him. The GOP will be able to rally around this point, saying that Democrats will undo this growth. 2020 probably won’t be blue."
"do ride-sharing companies add to city traffic?
","They increase traffic dramatically
",1,"The ride-sharing companies increase traffic dramatically
","Ride-sharing service like Uber and Lyft are creating more traffic, having made it easier than ever to quickly and effortlessly hail a cab, reports Sean Wolfe of Business Insider. One study found that they increased driving in certain cities by up to 160% in some places. These drivers spend a large portion of their time on the road without a passenger, adding to road congestion. The study that concluded this also found that 60% of Uber and Lyft users would have taken public transport instead of using their services. Car owners still keep their vehicles, in addition to using a ride-sharing service for added convenience."
"do ride-sharing companies add to city traffic?
","They're working to fix this issue
",0,"The ride-sharing companies are working to fix this issue
","Cities have long suffered from traffic before the advent of ride-hailing apps, holds Robin Chase of City Lab. A primary factor in urbanites using cars to get around is the transportation options they have. Better parking options, lanes for public transport and parking meter prices can strongly affect how many cars end up on the road. Ride-sharing services are still growing and getting better at putting people in cars together. Uber Pool is one example. Seventy-five percent of car commutes carry one passenger. It will take time to change that with new technologies, services and mindsets. Fees on Uber and Lyft are not the answer to this issue.
"
should 3d-printed guns be legal?,"They pose a huge public danger
",0,3d-printed guns pose a huge public danger,"Allowing anyone to freely 3D-print their own gun would make the US a less safe place, believes Paul Benzone of Record Online. These deadly weapons are currently available to criminals, terrorists, drug cartels and domestic abusers. 3D-printed guns are untraceable, which would make linking them to a crime scene much harder than with regular firearms. This would facilitate more gun violence and make it harder for law enforcement to catch murderers. The State Department was wrong to allow anyone to download the plans for such guns, which can then be ‘printed’ at home. It violates our necessary firearm laws."
should 3d-printed guns be legal?,"They're covered by the Constitution
",1,3d-printed guns are covered by the Constitution,"America’s core values, built on the First and Second Amendments, mean that printing 3D guns must remain legal, suggests Tim Worstall of The Washington Examiner. Any new kinds of laws that make it illegal to share the required designs online would set a precedent that inherently obstructs these essential rights. While the result may be be misuse of these weapons, America has long prioritized individual liberties over excessive laws. Freedom of speech gives much hate a platform. US gun rights are hotly opposed by many. Still, these are the sacrifices that unfortunately need to be made in order to guarantee liberty."
"did russia help get trump elected?
","Russia was a key part of his election
",1,"Russia was a key part of his election
","There is an overwhelming amount of evidence that indicates Russia had a strong hand in getting Donald Trump elected, reports Albert R. Hunt of Bloomberg. Kremlin-funded trolls spread anti-Hillary Clinton and pro-Trump messages on social media while Russian intelligence worked to get compromising information that could help Trump. This included leaks about the DNC favoring Clinton over Bernie Sanders and Clinton campaign emails. While Republicans deny it, Russia hugely affected the way the American populace thought about both candidates prior to the election. Trump can thank Putin for having gotten elected.
"
"did russia help get trump elected?
","In fact, other factors were far bigger
",0,"In fact, other factors were far bigger
","While Russia did interfere in the 2016 US election, it cannot be proven that it swung its result, argues Nate Silver of Five Thirty Eight. James Comey’s letter to Congress about Hillary Clinton’s emails likely had a much bigger effect on the outcome. Similarly, the electoral college allowed Trump to win without needing to sweep the popular vote. Russian hacking efforts ran on a small budget that was unlikely to cause big waves. Ultimately, it was Clinton’s own failings, such as her email server scandal, that led to her loss. The DNC holding back Bernie Sanders only made things worse. For now, Russia’s influence was minimal."
"is mission impossible: fallout worth watching?
","It's an amazingly exciting movie
",1,"“Fallout” is an amazingly exciting movie
","Mission Impossible: Fallout is a gem that lives up to its predecessors and impresses in almost every aspect, holds A. A. Dowd of the AV Club. Suspenseful, exciting, full of gravity-defying action and with a plot that intrigues, it’s an all-round great movie. Tom Cruise rolls back the years with a fantastic performance, completing some mind-boggling stunts on the way. Beneath the perfectly executed action of the film sits a plot that is mystifying and deep, playing with betrayal and morality. With just the right sprinkle of comic relief, provided by Simon Pegg and Ving Rhames, it’s the perfect ambassador for the spy-thriller genre.
"
"is mission impossible: fallout worth watching?
","It's simply too one-dimensional
",0,"“Fallout” is simply too one-dimensional
","Mission Impossible: Fallout is an overload of action and adrenaline that drowns out everything else in a very one-dimensional way, suggests Nicholas Barber of BBC Culture. With dialogue that follows many cliches and an unimpressive plot, the movie offers very little beyond its admittedly breathtaking action scenes. Overly dramatic and with far too intense pacing, it suffers in most other areas. The story isn’t special and Tom Cruise’s ‘action man’ character has a rather limited personality. Without a compelling narrative, it’s hard to put much importance on the death-defying scenes that seem to fill every minute of the film.
"
"how bad is facebook's stock plunge?
","Facebook will overcome this situation
",0,"Facebook will overcome this situation
","While Facebook’s stock price crashed down almost 19% due to setbacks in user growth and profits, the company is set to do well over the long-term, infers Aimee Picchi of CBS News. This downturn was the result of new EU data laws and the Cambridge Analytica scandal. However, Facebook’s stock decline only reached levels of May 2017, and will likely bounce back, as it has done during previous controversies. In fact, the EU data laws will probably benefit the company as it makes it harder for smaller companies with fewer resources to fully comply. Market analysts believe that Facebook is still worth investing in."
"how bad is facebook's stock plunge?
","This is a huge blow to the company
",1,"The stock plunge is a huge blow to the company
","Facebook has finally felt the effect of its data scandals and declining user growth, seeing its share price plummet by around 20%, reports Therese Poletti of Market Watch. It is particularly painful because the company had been gathering a reputation for being able to weather controversies without such repercussions. Its revenues will continue to shrink over 2018, which has shocked shareholders. New EU data laws and fewer users signing up have hit the company hard. This economic downturn is set to continue and eat away at the company’s income. Facebook is suffering for the scandals that it allowed to fester."
"should facebook be broken up?
","It has broken the rules too many times
",1,"Facebook has broken the rules too many times
","Facebook has long shown that it will not curtail third-party use and abuse of the data it generates on users unless it is legally obliged to. Breaking up the company would promote competition and consumer rights in the industries that it dominates, holds Eric Wilson of Politico. Recent data scandals showed that the company repeatedly looked the other way while third parties freely harvested its data. Its business model is built on monetizing its users’ data. Breaking it up, without over-regulating other tech companies, could de-centralize its power and promote more ethical supervision of the information that can be gathered from social media.
"
"should facebook be broken up?
","Breaking Facebook up serves no one
",0,"Breaking Facebook up serves no one
","Breaking up Facebook would mostly cause problems with little benefit to consumers, asserts David Shipley of Bloomberg. The social media platform is so popular because of its size, which allows users from all over the world to connect. In its absence, another rival might very well rise quickly and gain a similar market dominance. Currently, the company offers an unrivaled free experience, while benefiting many small companies with its services. While Facebook must be held accountable for transgressions, this should be done with smart regulations. That would be the best way to promote transparency and better competition in the sector.
"
"are public libraries still needed?
","Public libraries are a common good
",1,"Public libraries are a common good
","Public libraries offer all members of society a hugely valuable service that is as important as ever, infers Constance Grady of Vox. The notion that Amazon has replaced it with its easily accessible online bookstore and e-readers is wrong. The online retailer works for its own interests, in the pursuit of maximum profit. Unlike public libraries, it does not freely offer books, movies, learning tools, job search assistance and much more to even the poor. Like public education, everyone pays for libraries because they are a public good that helps educate society, even if not every individual uses them. Public libraries carry many benefits for all.
"
"are public libraries still needed?
","Amazon has made them superfluous
",0,"Amazon has made public libraries superfluous
","Libraries are on the path to redundancy due to the advances in e-book technology and the ease of buying books on Amazon, writes Marc Bodnick in Forbes. While libraries do provide many services, they revolve around lending out books. Particularly in this regard, e-readers have made it so easy to access any book that taking a trip to the library becomes much less appealing. Even then, someone else might have borrowed the book or they might not have it at all.  ‘Power readers’ in particular who read a lot are served better with an e-book. Amazon has streamlined the reading process, making libraries economically unnecessary.
"
"is the gop's carbon tax plan worth enacting?
","The plan is a wolf in sheep's skin
",0,"The plan is a wolf in sheep's skin
","While the GOP’s carbon tax plan is a step in the right direction, it would give big polluters a pass for their hand in damaging the environment, argue Lee Wasserman and David Kaiser of The New York Times. In fact, the bill was driven by lobbyists from big oil companies. It would also repeal the Clean Power Plan, which puts a check on carbon emissions. This and removing the possibility of taking fuel companies to court, over their pollution of the environment, would hurt the global effort to clean up the planet. Big oil has long worked to hide the dangers of carbon emission and cover up its hand in this. The bill should be rejected, as it protects polluters.
"
"is the gop's carbon tax plan worth enacting?
","It would cut America's emissions
",1,"The plan would cut America's emissions
","The Republican-led carbon tax plan is a good initiative in America’s fight against climate change, suggests Eric Holthaus of Grist. While it is not as thorough as might be ideal, it’s the best currently enactable plan to reduce America’s carbon emissions. The effort against climate change has to start somewhere. Fuel companies would have to pay $23 for every ton of carbon emissions that they produce. It would also rise by $2 every year that emission goals aren’t reached. By some predictions, this plan could reduce America’s emissions by 26-28% in 2025. This GOP initiative to protect the climate is a solid and highly necessary progression from the past."
"should we be worried about the water in flint, mi?
","Flint's conditions have been overblown
",0,"Flint's conditions have been overblown
","Recent tests have shown that much of the fear over lead poisoning in the water of Flint, Michigan, was over-the-top, reports Kyle Smith of National Review. Still, a huge public campaign, led by celebrities like Michael Moore, vastly exaggerated the danger to Flint’s residents. One such misconception is that local children were hospitalized due to lead in their blood. While lead intake did rise, it didn’t require children to be hospitalized. In fact, most of America was worse off in the 1970s, when lead was much more present in drinking water. While incompetence did cause big issues with Flint's water, it’s not the catastrophe some portray it as."
"should we be worried about the water in flint, mi?
","Its lead contamination was dangerous
",1,"Its lead contamination was dangerous
","The levels of lead in the water of Flint, Michigan, have caused huge health issues for its residents, reveals Heather Smith of Sierra Club. According to one report, Flint’s fertility rate fell by 12%, while miscarriages and stillbirths increased by 58%. Around 9,000 children were exposed to lead, which carries multiple health and developmental hazards. in particular, the large portion of Flint’s low-income residents were ill-equipped to handle this. The issue stemmed from the lead industry lobbying for the use of lead in pipes, ignoring health warnings. Flint is not alone among US cities that risk their residents’ health with high levels of lead in their water."
"did james gunn deserve to get fired for old tweets?
","He was smeared for political reasons
",0,"Gunn was smeared for political reasons
","Disney firing filmmaker James Gunn sets a dangerous precedent that rewards politically-motivated social media smear campaigns, infers Andrew Todd of Birth Movies Death. Gunn was a target of alt-right Twitter users that used the force of the #MeToo movement to topple him for his political stances, such as criticism of Trump. While Gunn’s comments were despicable, everything indicates that he highly regrets them and has grown since writing them. The alt-right smear campaigns involve digging up dirt and even spreading false rumors on the internet to pressure employees to fire certain individuals. Firing Gunn shows that this behavior works.
"
"did james gunn deserve to get fired for old tweets?
","The tweets warranted his termination
",1,"The tweets warranted Gunn’s termination
","While the people that spread James Gunn’s closed-minded tweets had motives besides enforcing justice, he deserved to be fired for the things he wrote, believes Sarah Joy Curtis of The Odyssey Online. A company like Disney that caters to families and children could not go on employing a man who made so many jokes about pedophilia. Doing so was incredibly tasteless and Gunn has only himself to blame. However, Mike Cernovich, who orchestrated the smear campaign, should be looked into for sexist tweets as well. Everyone that spreads ideas that hurt women needs to be held accountable, even when they were the targets of smear campaigns.
"
"is the michael cohen tape incriminating for trump?
","Cohen's recording proves nothing
",0,"Cohen's recording proves nothing
","The recording of an interaction between President Trump and his now ex-lawyer Michale Cohen doesn’t provide anything damning, argues the panel of a Sean Hannity Fox News segment. Key parts of the tape are muffled, adding even more ambiguity. There was nothing illegal about the non-disclosure agreement that was discussed. More importantly, Trump didn’t pay anything in the end. The release of this tape is likely an attempt to discredit or smear the president with a story that has nothing to do with allegations of collusion with Russia. It appears that Cohen is being pressured for information that could be used against Trump.
"
"is the michael cohen tape incriminating for trump?
","This suggests Trump is being blackmailed
",1,"Cohen’s recording suggests Trump is being blackmailed
","The Michael Cohen tape of conversations between him and President Trump backs up the theory that Russia is blackmailing him, writes Virginia Heffernan of the Chicago Tribune. He most likely has more tapes; the 16 phones that the FBI found at his house suggest as much. What the recording itself demonstrates is that Trump has made several efforts to cover up stories that could hurt him politically, even with ruthless tactics to deceive targets into signing documents they don’t fully understand. There is likely to be more information that could be used against Trump. The Russian government might be using it to blackmail him."
"are stand your ground laws beneficial?
","They are needed for self-defense
",1,"Stand your ground laws are needed for self-defense
","Stand Your Ground laws allow individuals who are threatened to protect themselves in a dangerous situation, reports Jorge Amselle of the Daily Caller. In many cases, this is essential to ensure one’s safety. Forcing people who are able to defend themselves to retreat could risk them getting hurt, as getting away isn’t always enough. Stand Your Ground laws also protect individuals who shoot someone from being prosecuted in ways that disregard the fear and stress they may have been under. It ensures that Americans don’t need to worry about using First Amendment rights to bear arms and protect themselves.
"
"are stand your ground laws beneficial?
","They promote needless violence
",0,"Stand your ground laws promote needless violence
","The parking dispute in North Pinellas, FL, which should have been resolved normally, ended in bloodshed because of liberal Stand Your Ground laws, argues the Tampa Bay Times in an editorial. They make it extremely hard to prosecute individuals who shoot others, as long as they have even a slight claim that they felt threatened. This is the result of incredibly poor lawmaking and lessens the safety of citizens. It makes resorting to shooting someone not a clear offense, as it should be, but a justified response to almost any level of confrontation. Stand Your Ground laws are a danger to society and need to be undone.
"
is 'mamma mia 2' worth seeing?,"This is a sorry, needless reboot
",0,"“mamma mia 2” is a sorry, needless reboot","Mamma Mia! Here We Go Again was an unnecessary sequel that strongly disappoints, believes Kristen Page-Kirby of the Washington Post. Few expected the plot to be particularly ground-breaking, the movie is clearly about having fun. But it even fails here, with music and dancing scenes that feel forced and unnatural. Big actors from the previous movie are unable to shine, in particular Meryl Steep, who fails to capture her character’s magic from Mamma Mia. The song performances are dull, leaving the subpar plot that much more exposed. Here We Go Again fails at the simplest of tasks, making a fun movie about ABBA’s music.
"
is 'mamma mia 2' worth seeing?,"It's fun and exciting to watch
",1,“mamma mia 2” is fun and exciting to watch,"Playful, over the top and most importantly, fun, Mamma Mia! Here We Go Again is a great film that everyone can enjoy, suggests Brian Lowry of CNN. Building on the previous movie’s plot with flashbacks and new characters, it creates an amusing story that fits the catchy ABBA tunes well. Cher and Andy Garcia are among many welcome additions to the cast, which performs the songs beautifully. This film is not about the plot, it’s about having a good time, and it does just that. Its take on the classic songs we all know is refreshing and entertaining. Most audience members are likely to leave the cinema in good spirits and humming the film's various tunes.
"
"were trump's iran tweets justified?
","They were far too aggressive
",0,"The tweets were far too aggressive
","President Trump’s Twitter response to Iran was highly exaggerated and needlessly provocative, argues Conor Friedersdorf of The Atlantic. Iran’s leader’s statements were not extraordinary and could have easily been dismissed. Trump is showing a strong lack of presidential restraint, which could harm America’s national interests abroad. While his threats of war are likely a bluff, they aggravate an already sensitive situation with Iran. They may have been motivated by a desire to look tough, which would have been a very poor decision. There is a risk that he was serious, which is even worse as it shows a far too big willingness to resort to force.
"
"were trump's iran tweets justified?
","They are part of Trump's plan
",1,"The tweets are part of Trump's plan
","President Trump’s tweets aimed at Iran were part of a detailed strategy to apply pressure on its regime, infer Mitchell, De Luce and Williams of NBC News. There is a long-term plan, which is part of pulling out of the Iran deal and reintroducing sanctions. Its next step will be to push European allies to isolate Iran economically or lose their business with America. The idea is to get the country to the point of regime change or force it to make concessions. While crass, Trump is using his ‘fire and fury’ mind game tactics that seemed to work in bringing North Korea to the table. Rather than just angry ramblings, they are a product of precise planning.
"
"should democrats move towards the left?
","This would alienate most voters
",0,"Moving to the left would alienate most voters for democrats
","Democrats are hurting their brand and appeal to voters by embracing candidates that hold very left-wing or even socialist views, writes John Fund of National Review. Such extreme policies could alienate a big portion of the electorate. Diane Feinstein, the moderate Democratic senator from California, is also losing popularity before her run for re-election. The party is gradually shifting leftward, as has also been seen with the popularity of Bernie Sanders and the recent rise of Alexandria Ocasio-Cortez. Calls to abolish ICE, raise taxes and make health care free may be popular among liberals but could cost their party valuable votes.
"
"should democrats move towards the left?
","Left-wing policies are popular
",1,"Left-wing policies are popular
","The rapid rise of Democratic socialist Alexandria Ocasio-Cortez shows that the Democratic party can run and win with left-wing agendas, suggests Dylan Scott of Vox. The public has shown a growing interest in progressive ideas like Medicare-for-all, a federal jobs guarantee and tuition-free college. A 2016 Bankrate study found that 62% of the country and 77% of millennial support college being freely accessible. Enthusiasm for such policies only continues to grow, as more and more young people become eligible to vote. With the right candidates, Democrats can build a winning message built on left-wing policies."
